change_date,mls_number,old_status,new_status,address,formatted_address,agent_name,agent_email,agent_phone,price,list_date,days_on_market,lp_order,market
2025-12-25,6958597,Active,Pending,"2338 W Lindner AVE 47, Mesa, AZ 85202",2338 w lindner ave 47 mesa az 85202,,,,"$263,900",12/17/2025,2,FALSE,Phoenix
2025-12-25,6953830,Active,Pending,"438 LIESEN DR, Morristown, AZ 85342",438 liesen dr morristown az 85342,,,,"$280,000",12/03/2025,2,FALSE,Phoenix
2025-12-25,6955607,Coming Soon,Active,"6941 E FLAT IRON CT, Gold Canyon, AZ 85118",6941 e flat iron ct gold canyon az 85118,,,,"$2,700,000",12/05/2025,5,FALSE,Phoenix
2025-12-26,6955267,Closed,Pending,"950 Shangri La DR, Sedona, AZ 86336",950 shangri la dr sedona az 86336,,,,"$899,000",12/07/2025,3,FALSE,Phoenix
2025-12-26,6958388,Active,Withdrawn,"1678 E RAWHIDE ST, Gilbert, AZ 85296",1678 e rawhide st gilbert az 85296,,,,"$779,900",12/16/2025,4,FALSE,Phoenix
2025-12-26,6921009,Closed,Cancelled,"5725 E GOOD PASTURE LN, Florence, AZ 85132",5725 e good pasture ln florence az 85132,,,,"$310,000",09/17/2025,3,FALSE,Phoenix
2025-12-26,6936337,Closed,Pending,"36915 W MONROE ST, Tonopah, AZ 85354",36915 w monroe st tonopah az 85354,,,,"$474,490",10/20/2025,3,FALSE,Phoenix
2025-12-26,6958824,Active,Withdrawn,"398 W FAIRVIEW ST, Chandler, AZ 85225",398 w fairview st chandler az 85225,,,,"$235,000",12/17/2025,3,FALSE,Phoenix
2025-12-26,6925758,Expired,Active,"8559 W SUNNYSLOPE LN, Peoria, AZ 85345",8559 w sunnyslope ln peoria az 85345,,,,"$399,900",09/27/2025,2,FALSE,Phoenix
2025-12-26,6940413,Closed,Pending,"7281 E RYDER RD, Prescott Valley, AZ 86315",7281 e ryder rd prescott valley az 86315,,,,"$430,990",10/30/2025,2,FALSE,Phoenix
2025-12-26,6960875,Active,Pending,"8141 N CENTRAL AVE 9, Phoenix, AZ 85020",8141 n central ave 9 phoenix az 85020,,,,"$312,000",12/25/2025,1,FALSE,Phoenix
2025-12-26,6896523,Active,Pending,"7411 N Toya Vista RD, Payson, AZ 85541",7411 n toya vista rd payson az 85541,,,,"$275,000",07/23/2025,2,FALSE,Phoenix
2025-12-26,6884944,Expired,Active,"18026 N CAVE CREEK RD 140, Phoenix, AZ 85032",18026 n cave creek rd 140 phoenix az 85032,,,,"$85,000",06/25/2025,2,FALSE,Phoenix
2025-12-26,6961025,Coming Soon,Active,"11917 E MARIPOSA GRANDE DR, Scottsdale, AZ 85255",11917 e mariposa grande dr scottsdale az 85255,,,,"$1,750,000",12/26/2025,3,TRUE,Phoenix
2025-12-26,6960874,Coming Soon,Active,"4244 E ASHLER HILLS DR, Cave Creek, AZ 85331",4244 e ashler hills dr cave creek az 85331,,,,"$875,000",12/25/2025,2,FALSE,Phoenix
2025-12-27,6961003,Coming Soon,Active,"1036 E OAK RD, San Tan Valley, AZ 85140",1036 e oak rd san tan valley az 85140,,,,"$525,000",12/06/2025,3,FALSE,Phoenix
2025-12-27,6960894,Coming Soon,Active,"4775 S DUSTY COYOTE TRL, Gold Canyon, AZ 85118",4775 s dusty coyote trl gold canyon az 85118,,,,"$790,000",12/26/2025,790,FALSE,Phoenix
2025-12-27,6961020,Coming Soon,Active,"20620 N 5TH DR, Phoenix, AZ 85027",20620 n 5th dr phoenix az 85027,,,,"$350,000",12/26/2025,2,FALSE,Phoenix
2025-12-27,6936337,Pending,Closed,"36915 W MONROE ST, Tonopah, AZ 85354",36915 w monroe st tonopah az 85354,,,,"$474,990",10/20/2025,3,FALSE,Phoenix
2025-12-27,6961121,Coming Soon,Active,"6168 E Starlight Ridge PKWY, Lakeside, AZ 85929",6168 e starlight ridge pkwy lakeside az 85929,,,,"$360,000",12/26/2025,3,FALSE,Phoenix
2025-12-27,6961126,Coming Soon,Active,"2910 W ANDERSON DR, Phoenix, AZ 85053",2910 w anderson dr phoenix az 85053,,,,"$439,900",12/26/2025,2,FALSE,Phoenix
2025-12-27,6897955,Active,Expired,"2221 N AVENIDA TABICA --, Green Valley, AZ 85614",2221 n avenida tabica -- green valley az 85614,,,,"$299,999",07/27/2025,2,FALSE,Phoenix
2025-12-27,6960948,Coming Soon,Active,"3800 GOLD RIDGE RD, Wickenburg, AZ 85390",3800 gold ridge rd wickenburg az 85390,,,,"$699,999",12/26/2025,3,FALSE,Phoenix
2025-12-27,6806960,Active,Withdrawn,"9020 E BRITTLE BUSH RD, Gold Canyon, AZ 85118",9020 e brittle bush rd gold canyon az 85118,,,,"$379,900",01/17/2025,2,FALSE,Phoenix
2025-12-27,6933569,Active,Pending,"3160 W RUTH AVE, Phoenix, AZ 85051",3160 w ruth ave phoenix az 85051,,,,"$385,350",10/15/2025,3,FALSE,Phoenix
2025-12-27,6960889,Coming Soon,Active,"5819 E LUDLOW DR, Scottsdale, AZ 85254",5819 e ludlow dr scottsdale az 85254,,,,"$1,399,999",12/25/2025,3,FALSE,Phoenix
2025-12-27,6942960,Closed,Pending,"6923 W RANCHO DR, Glendale, AZ 85303",6923 w rancho dr glendale az 85303,,,,"$384,900",11/05/2025,3,FALSE,Phoenix
2025-12-27,6960541,Active,Withdrawn,"1633 E WESLEYAN DR E, Tempe, AZ 85282",1633 e wesleyan dr e tempe az 85282,,,,"$500,000",12/22/2025,2,FALSE,Phoenix
2025-12-27,6911174,Closed,Pending,"4614 S EULER LN, Mesa, AZ 85212",4614 s euler ln mesa az 85212,,,,"$584,900",08/27/2025,3,FALSE,Phoenix
2025-12-27,6923856,Closed,Pending,"9646 N 47TH AVE, Glendale, AZ 85302",9646 n 47th ave glendale az 85302,,,,"$375,000",09/23/2025,3,FALSE,Phoenix
